Year,Total_energy_production,Total_energy_consumption,CO2_emissions,Oil_products_consumption,Refined_oil_products_production,Natural_gas_consumption,Crude_oil_production,Share_renewables_electricity_production,Share_electricity_final_energy_consumption,Average_CO2_factor,CO2_PPP,Energy_intensity_GDP_PPP,Electricity_production,Electricity_consumption
1990,7250.319877186,7436.10610109,18049.97935686,2482.960223,2642.7419999999997,1792.550823905,2283.312,951.642941066,546.796346773,86.438189419,15.281625393,6.494130255,10480.766,8945.84
1991,7263.640289923999,7493.73657144,18243.321589619998,2520.4906108,2686.934,1848.97010283,2279.954,975.4509597690001,553.294870331,86.532789208,15.568101328000001,6.57498345,10738.955,9265.181
1992,7254.634931469001,7507.62435088,18238.12425443,2530.6263663,2689.41,1848.709884763,2240.8269999999998,974.608240266,560.334608992,86.48478583,15.477541377,6.534261027,10855.537,9354.916000000001
1993,7231.102390073,7591.88553116,18337.6974612,2535.5471165999998,2716.374,1880.840708447,2227.33,991.090110568,566.614858587,86.023528081,15.239180427,6.496081526,11122.576,9536.413
1994,7353.164745708,7628.9635274,18416.07138989,2552.5177442,2715.0099999999998,1878.302390297,2242.687,989.385581358,575.758167192,85.987379426,15.066963386000001,6.428431848,11388.577000000001,9785.142
1995,7543.261463013,7832.71595335,18858.25026619,2608.695,2746.325,1922.67746689,2279.997,983.3543447970001,577.223607375,85.902553181,15.032417829,6.43428696,11788.278,10088.005
1996,7734.823505091,8015.8190782599995,19249.395063699998,2665.5879999999997,2829.141,1997.3378019460001,2355.043,964.72210791,581.859648987,86.179528717,14.745785335,6.354188236,12160.338,10400.873
1997,7802.199109318,8081.27135068,19561.947974990002,2758.772,2923.927,2023.742110202,2396.629,935.999071073,593.782574263,86.344930882,14.36163342,6.215668628,12396.248,10636.646999999999
1998,7828.903143547,8098.01828197,19682.08738026,2775.5119999999997,2943.208,2039.316569737,2392.02,931.941746933,607.529179206,86.09222208,14.160842269,6.144117197,12680.753999999999,10863.898000000001
1999,7850.922286291,8288.46553946,19813.65286932,2831.192,2969.614,2105.251573863,2354.572,907.71402421,615.041395651,85.333379847,13.722272155,6.054655472,13045.849,11168.266
2000,8021.382637083,8483.98537704,20413.130692439998,2845.882,3040.271,2176.816489837,2411.019,899.491379793,630.753535746,86.08202000200001,13.428312451,5.878542692,13699.506,11696.005
2001,8172.56150614,8524.84491398,20677.28524076,2875.326,3076.006,2181.692323008,2435.653,893.884740283,640.121063617,86.896057703,13.21009136,5.730259679,13732.110999999999,11858.065
2002,8275.603618889,8705.3026498,20935.10514874,2851.05,3082.461,2245.6942306270003,2452.933,891.5617351450001,647.44909409,86.232137259,12.97708436,5.66136885,14301.137,12255.676
2003,8596.802166296,9038.12292729,21906.96897006,2906.585,3149.664,2315.600586635,2525.675,870.8092630169999,651.937324907,86.162755447,12.969457092,5.645969027,14830.390000000001,12741.201000000001
2004,8941.701273448,9435.11465471,22961.69137895,3020.619,3263.882,2375.430799321,2574.835,887.705852198,658.405448313,85.841818776,12.626261942,5.507097551,15518.143,13321.93
2005,9183.160436086,9705.5797745,23797.23077848,3033.0,3282.873,2423.23516302,2564.5899999999997,891.800174192,667.998076321,85.930330241,12.315762205,5.357096474,16210.34,13906.2288056
2006,9430.259487214,9964.42843333,24523.03402927,3048.745,3315.548,2467.172635442,2564.964,894.193217607,678.299810755,85.409499135,11.932166199,5.206199552,16842.294,14456.371128
2007,9619.642746094,10247.55696995,25386.66618978,3075.831,3339.916,2570.237157429,2560.8269999999998,868.3249648139999,684.080710431,85.550304681,11.583821401,5.05127839,17611.455,15206.9727904
2008,9770.748121295,10331.64699317,25473.08851274,3014.525,3348.184,2614.555775645,2538.799,873.650643593,689.304134295,85.203341448,11.422430343,4.992694947,17919.396,15456.71104
2009,9742.76664582,10227.31871788,25185.1390879,2927.706,3269.84,2552.866272605,2524.5280000000002,890.848576077,697.925272063,84.154029927,11.142226549,4.93451653,17823.578,15351.52981826
2010,10215.766867591,10806.15147404,26663.07939846,2997.053,3330.342,2771.786609356,2590.19,902.474460791,708.272501688,84.278774204,11.190827738,4.962345508,19050.397,16423.430560920002
2011,10459.691426041001,10990.70001603,27469.68897965,2985.007,3324.953,2812.886267117,2597.137,920.750370665,716.973707938,85.437514966,10.987098043,4.810950799,19712.399,16962.54175533
2012,10495.21238796,11129.48762933,27841.817054559997,3023.886,3365.907,2870.431901707,2591.069,919.032001398,722.2509136269999,85.793539506,10.872608912,4.749484052,20121.731,17346.30744435
2013,10661.19238336,11301.00928407,28365.48479231,3067.024,3387.272,2891.949953894,2635.247,957.096191656,720.420674611,84.532945618,10.672367398,4.712563026,20735.999,17890.84504
2014,10873.774721040001,11376.56484311,28299.63463521,3087.114,3438.643,2889.140944796,2737.354,978.8864293729999,731.995533725,84.512243314,10.234299748,4.547258478,21077.417999999998,18218.782982
2015,10871.79281727,11361.66804513,28121.03744497,3139.415,3501.639,2916.680108485,2789.796,988.21692591,743.024843789,85.100757921,9.983053227,4.428936632,21399.571,18482.92026674
2016,10732.1164484,11411.43482753,27996.24668396,3158.341,3513.651,2983.23259573,2784.0950000000003,1031.399063074,747.792187714,83.833816084,9.794842781,4.408901855,21984.346999999998,19057.702627079998
2017,11037.303116508,11613.48414005,28358.55598411,3206.5666969999997,3589.3998549999997,3067.295049135,2808.709234,1049.327948502,748.686707672,83.422601334,9.635819534,4.362301262,22553.281637,19593.697831960002
2018,11434.967154545,11893.83076988,28845.05389535,3236.6097029999996,3622.671806,3255.747414994,2881.215794,1091.9346015840001,756.822528074,83.398454126,9.55386235,4.327136261,23436.043403,20409.30904546
2019,11673.86400701,11972.74665754,28792.98699807,3256.382374299,3649.527468341,3313.823359473,2884.998416007,1121.30947063,760.8455146379999,82.546777616,9.42619962,4.300920807,23685.45432688,20631.05198148
2020,11317.59658309,11529.41721448,27433.16049636,3010.498497616,3322.60028859,3259.545475595,2748.208942771,1177.566133809,790.226953579,81.338755974,9.32225528,4.30192338,23560.15429626,20416.11330995
